n,Naive Algorithm,Kmp Algorithm,Boyer Moore Algorithm
2,4.013657569885254,2.4361793994903564,3.4451823234558105
4,4.566192150115967,2.309640407562256,4.515200614929199
8,4.5600056648254395,2.450380325317383,4.4801177978515625
16,4.580031871795654,2.518376111984253,4.5010294914245605
32,5.196191787719727,2.5668046474456787,4.8337531089782715
64,4.47380518913269,2.7825369834899902,4.4889678955078125
128,4.6512298583984375,2.531768321990967,4.508112668991089
256,4.643453121185303,2.484448194503784,4.056135892868042
512,4.5168774127960205,2.6107845306396484,4.200332880020142
1024,4.479853868484497,2.2034912109375,4.098308324813843
2048,4.339195489883423,2.243826389312744,4.035974502563477
4096,4.39284348487854,2.4666426181793213,4.001985549926758
8192,4.39709734916687,2.242572546005249,4.033597469329834
16384,4.351699113845825,2.113420248031616,4.059039831161499
32768,4.336735010147095,2.2222142219543457,4.145893335342407
65536,4.3454883098602295,2.238687038421631,4.033102035522461
