n,Naive Algorithm,Kmp Algorithm,Boyer Moore Algorithm
2,1.9271132946014404,1.1960301399230957,1.5978598594665527
4,2.124267339706421,1.326547622680664,0.8561110496520996
8,2.114966630935669,1.3162167072296143,0.4607210159301758
16,1.9128546714782715,1.2658605575561523,0.2890152931213379
32,1.8996596336364746,1.1977994441986084,0.19805598258972168
64,2.001013994216919,1.208700180053711,0.12454533576965332
128,1.957556962966919,1.228994369506836,0.08969664573669434
256,1.902611255645752,1.2157790660858154,0.06145501136779785
512,2.034334182739258,1.1482460498809814,0.050252676010131836
1024,2.0660593509674072,1.141589641571045,0.030081987380981445
2048,2.0826470851898193,1.161022424697876,0.021251201629638672
4096,2.136228561401367,1.193166971206665,0.01701498031616211
8192,2.081702709197998,1.1548035144805908,0.013574361801147461
16384,2.3030412197113037,1.2239723205566406,0.009467601776123047
32768,2.352489471435547,1.3560400009155273,0.013377189636230469
65536,2.406500816345215,1.5657942295074463,0.020143508911132812
